,CountryName,Congenital 
0,Malta,52.0
1,Japan,45.9
2,Ireland,45.5
3,Bahrain,45.5
4,Kuwait,44.1
5,Chile,39.5
6,Costa Rica,39.3
7,Finland,37.3
8,Austria,35.7
9,Israel,35.0
10,Monaco,34.2
11,Singapore,34.0
12,Andorra,33.9
13,Cyprus,33.8
14,Slovakia,33.8
15,Moldova,33.6
16,Switzerland,33.3
17,Belgium,33.1
18,Belarus,33.1
19,Greece,32.9
20,Uruguay,32.7
21,Netherlands,32.7
22,Poland,32.6
23,Norway,32.4
24,Portugal,32.2
25,Canada,32.2
26,Lithuania,31.9
27,Bosnia & Herzegovina,30.7
28,United Arab Emirates,30.7
29,Australia,30.2
30,Germany,30.2
31,Qatar,29.9
32,Sweden,29.6
33,Turkey,29.5
34,Russian Federation,29.3
35,Estonia,29.2
36,Ukraine,29.1
37,United Kingdom,28.9
38,Cook Islands,28.7
39,New Zealand,28.4
40,Romania,28.3
41,Maldives,27.9
42,France,27.8
43,Argentina,27.8
44,Malaysia,27.7
45,Colombia,27.3
46,Lebanon,27.3
47,Brunei,27.1
48,Thailand,27.1
49,Oman,27.0
