,Country1,Congenital ,lat,lon
0,Argentina,33.9,-38.416097,-63.616671999999994
1,Australia,27.8,-25.274398,133.775136
2,Austria,30.2,47.516231,14.550072
3,Bahrain,35.7,25.930414000000003,50.637772
4,Belarus,45.5,53.709807,27.953389
5,Belgium,33.1,50.503887,4.469936
6,Brunei,33.1,4.535277,114.72766899999999
7,Canada,30.7,56.130366,-106.34677099999999
8,Chile,27.1,-35.675146999999996,-71.542969
9,Colombia,32.2,4.570868,-74.297333
10,Cook Islands,39.5,-21.236735999999997,-159.777671
11,Costa Rica,27.3,9.748917,-83.753428
12,Cyprus,28.7,35.126413,33.429859
13,Estonia,39.3,58.595271999999994,25.013607
14,Finland,33.8,61.92411,25.748151
15,France,29.2,46.227638,2.213749
16,Germany,37.3,51.165690999999995,10.451526
17,Greece,27.8,39.074208,21.824312
18,Ireland,30.2,53.41291,-8.243889999999999
19,Israel,32.9,31.046051000000002,34.851612
20,Japan,45.5,36.204824,138.252924
21,Kuwait,35.0,29.311659999999996,47.481766
22,Lebanon,45.9,33.854721000000005,35.862285
23,Lithuania,44.1,55.169438,23.881275
24,Malaysia,27.3,4.210483999999999,101.97576600000001
25,Maldives,31.9,3.202778,73.22068
26,Malta,27.7,35.937496,14.375416
27,Moldova,27.9,47.411631,28.369884999999996
28,Monaco,52.0,43.750298,7.412841
29,Netherlands,33.6,52.132633,5.291266
30,New Zealand,34.2,-40.900557,174.88597099999998
31,Norway,32.7,60.472024,8.468946
32,Oman,28.4,21.512583,55.923255000000005
33,Poland,32.4,51.919438,19.145135999999997
34,Portugal,27.0,39.399871999999995,-8.224454
35,Qatar,32.6,25.354826,51.183884
36,Romania,32.2,45.943160999999996,24.96676
37,Russian Federation,29.9,61.52401,105.31875600000001
38,Singapore,28.3,1.352083,103.819836
39,Slovakia,29.3,48.669026,19.699023999999998
40,Sweden,34.0,60.128161,18.643501
41,Switzerland,33.8,46.818188,8.227511999999999
42,Thailand,29.6,15.870032,100.992541
43,Turkey,33.3,38.963745,35.243322
44,Ukraine,27.1,48.379433,31.16558
45,United Arab Emirates,29.5,23.424076,53.847818000000004
46,United Kingdom,29.1,55.378051,-3.435973
47,Uruguay,30.7,-32.522779,-55.765834999999996
48,,28.9,,
49,,32.7,,
