,Country1,Preterm ,lat,lon
0,Albania,41.1,41.153332,20.168331
1,Antigua & Barbuda,45.4,17.060816,-61.796428000000006
2,Argentina,45.1,-38.416097,-63.616671999999994
3,Armenia,41.1,40.069099,45.038189
4,Bahamas,49.4,25.03428,-77.39628
5,Bulgaria,42.4,42.733883,25.48583
6,Denmark,50.9,56.26392,9.501785
7,Georgia,41.1,42.315407,43.356891999999995
8,Germany,41.4,51.165690999999995,10.451526
9,Greece,54.2,39.074208,21.824312
10,Hungary,56.1,47.162494,19.503304
11,Iceland,53.3,64.96305100000001,-19.020835
12,India,43.8,20.593684,78.96288
13,Jordan,40.9,30.585164000000002,36.238414
14,Korea Rep,52.8,40.339852,127.510093
15,Kuwait,46.9,29.311659999999996,47.481766
16,Luxembourg,54.4,49.815273,6.129583
17,Macedonia,71.2,41.608635,21.745275
18,Mauritania,41.0,21.00789,-10.940835
19,Mauritius,40.9,-20.348404000000002,57.552152
20,Palau,41.9,7.51498,134.58252
21,Poland,49.3,51.919438,19.145135999999997
22,Qatar,41.2,25.354826,51.183884
23,Romania,43.0,45.943160999999996,24.96676
24,Russian Federation,42.3,61.52401,105.31875600000001
25,Saint Lucia,45.6,13.909444,-60.97889300000001
26,Samoa,41.0,-13.759029,-172.10462900000002
27,Saudi Arabia,40.7,23.885942,45.079162
28,Serbia,59.6,44.016521000000004,21.005859
29,Slovakia,47.5,48.669026,19.699023999999998
30,Slovenia,54.4,46.151241,14.995463
31,St Vincent & the Grenadines,54.4,12.984305,-61.287228000000006
32,Suriname,42.1,3.9193050000000005,-56.02778299999999
33,Thailand,41.2,15.870032,100.992541
34,Tonga,41.4,-21.178986,-175.198242
35,Turkey,43.5,38.963745,35.243322
36,Tuvalu,41.9,-7.109535,177.64933
37,Ukraine,41.3,48.379433,31.16558
38,United Kingdom,54.9,55.378051,-3.435973
39,United States of America,45.5,37.09024,-95.712891
